(submission),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X,x,x,x,x,x,x,x,x,(total)
44,,,,,,,,,,,,,yes,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,maybe,,,tot
45,,yes,,,,maybe,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,,maybe,,yes,yes,,,,,,,,maybe,yes,,,,,,,,,maybe,,,,,,tot
46,,,,,,,,,,,,,,,,yes,,,conf,,,,,,,,,,,,,,conf,,,,,,,,,,maybe,,maybe,,,,,,,maybe,,,,,,tot
47,yes,maybe,,,yes,,,,,,,,,yes,,maybe,,,maybe,maybe,conf,,,,,,,,,,,,conf,,,,,maybe,,,,,,,,,,,,yes,,,yes,,yes,,,tot
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,yes,,,,,tot
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,,,,tot
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,maybe,,,,yes,,,,,tot
52,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,yes,,,,yes,,tot
53,,,,,,,,,,,,,,,,maybe,,,yes,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,maybe,,,,tot
54,,,,,,,,,,,,,yes,yes,,,,,yes,,,maybe,,,,,,yes,,,,maybe,,,,,,maybe,,,,,maybe,,,,,,yes,,,,,,yes,,,tot
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conf,,,,,,,,,,maybe,,,,,,conf,maybe,,,conf,,,,,tot
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,tot
57,,,,,,,,,,,,,yes,,,,,,,,,maybe,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,tot
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
59,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,tot
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,yes,,tot
61,,yes,,,yes,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,maybe,,,,,,,,,,,,,yes,,tot
62,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,tot
63,,yes,,,,,,,,,,,,maybe,,maybe,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,,,,tot
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conf,,,,,,,,,,,,,,,,conf,,,,conf,,,,,tot
65,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,,tot
66,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
67,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
70,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,conf,,,,,,,,,,,,,,,,,,,,,,,,yes,,,maybe,,tot
71,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,conf,,maybe,,maybe,,,,,,,,,,maybe,,yes,,,,,,,,yes,,,,,tot
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
75,,maybe,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,maybe,,,tot
78,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,tot
81,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,tot
82,,,,,,,,,,,,,conf,,,,,,,yes,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,yes,,yes,,,tot
83,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,tot
84,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,maybe,,,,,,,,,,,yes,,,,tot
85,,maybe,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,maybe,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,tot
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conf,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,tot
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
90,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,,,,tot
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
92,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,tot
93,conf,,,,,,,maybe,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,tot
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot
